/Volumes/HD-NICO/vaio-backup/Documents/ime/compmus/mestrado/maestro-v2.0.0/2004/MIDI-Unprocessed_XP_09_R1_2004_05_ORIG_MID--AUDIO_09_R1_2004_08_Track08_wav;STFT;46.8 ms ± 2.44 ms per loop (mean ± std. dev. of 3 runs, 3 loops each)
/Volumes/HD-NICO/vaio-backup/Documents/ime/compmus/mestrado/maestro-v2.0.0/2004/MIDI-Unprocessed_XP_09_R1_2004_05_ORIG_MID--AUDIO_09_R1_2004_08_Track08_wav;CQT;568 ms ± 4.58 ms per loop (mean ± std. dev. of 3 runs, 3 loops each)
/Volumes/HD-NICO/vaio-backup/Documents/ime/compmus/mestrado/maestro-v2.0.0/2004/MIDI-Unprocessed_XP_09_R1_2004_05_ORIG_MID--AUDIO_09_R1_2004_08_Track08_wav;SWGM;2.08 s ± 129 ms per loop (mean ± std. dev. of 3 runs, 3 loops each)
/Volumes/HD-NICO/vaio-backup/Documents/ime/compmus/mestrado/maestro-v2.0.0/2004/MIDI-Unprocessed_XP_09_R1_2004_05_ORIG_MID--AUDIO_09_R1_2004_08_Track08_wav;economic 200;1.02 s ± 12.5 ms per loop (mean ± std. dev. of 3 runs, 3 loops each)
/Volumes/HD-NICO/vaio-backup/Documents/ime/compmus/mestrado/maestro-v2.0.0/2004/MIDI-Unprocessed_XP_09_R1_2004_05_ORIG_MID--AUDIO_09_R1_2004_08_Track08_wav;economic 500;704 ms ± 6.25 ms per loop (mean ± std. dev. of 3 runs, 3 loops each)
/Volumes/HD-NICO/vaio-backup/Documents/ime/compmus/mestrado/maestro-v2.0.0/2004/MIDI-Unprocessed_XP_09_R1_2004_05_ORIG_MID--AUDIO_09_R1_2004_08_Track08_wav;economic 800;665 ms ± 3.85 ms per loop (mean ± std. dev. of 3 runs, 3 loops each)
/Volumes/HD-NICO/vaio-backup/Documents/ime/compmus/mestrado/maestro-v2.0.0/2004/MIDI-Unprocessed_XP_04_R2_2004_01_ORIG_MID--AUDIO_04_R2_2004_02_Track02_wav;STFT;46.8 ms ± 2.63 ms per loop (mean ± std. dev. of 3 runs, 3 loops each)
/Volumes/HD-NICO/vaio-backup/Documents/ime/compmus/mestrado/maestro-v2.0.0/2004/MIDI-Unprocessed_XP_04_R2_2004_01_ORIG_MID--AUDIO_04_R2_2004_02_Track02_wav;CQT;568 ms ± 2.33 ms per loop (mean ± std. dev. of 3 runs, 3 loops each)
/Volumes/HD-NICO/vaio-backup/Documents/ime/compmus/mestrado/maestro-v2.0.0/2004/MIDI-Unprocessed_XP_04_R2_2004_01_ORIG_MID--AUDIO_04_R2_2004_02_Track02_wav;SWGM;2.05 s ± 113 ms per loop (mean ± std. dev. of 3 runs, 3 loops each)
/Volumes/HD-NICO/vaio-backup/Documents/ime/compmus/mestrado/maestro-v2.0.0/2004/MIDI-Unprocessed_XP_04_R2_2004_01_ORIG_MID--AUDIO_04_R2_2004_02_Track02_wav;economic 200;1.01 s ± 22.7 ms per loop (mean ± std. dev. of 3 runs, 3 loops each)
/Volumes/HD-NICO/vaio-backup/Documents/ime/compmus/mestrado/maestro-v2.0.0/2004/MIDI-Unprocessed_XP_04_R2_2004_01_ORIG_MID--AUDIO_04_R2_2004_02_Track02_wav;economic 500;675 ms ± 1.66 ms per loop (mean ± std. dev. of 3 runs, 3 loops each)
/Volumes/HD-NICO/vaio-backup/Documents/ime/compmus/mestrado/maestro-v2.0.0/2004/MIDI-Unprocessed_XP_04_R2_2004_01_ORIG_MID--AUDIO_04_R2_2004_02_Track02_wav;economic 800;647 ms ± 2.07 ms per loop (mean ± std. dev. of 3 runs, 3 loops each)
